name,loc,tweet,time,rt,rt_name
 Shammah," Currently Moncton, NB U0001f1e8U0001f1e6", RT @RhondaBrown5: A late-in-the-day welcome to our newest @globalhalifax team member @jessethomas21 Please give him a follow! #Halifax,2019-02-25 22:40:28,,
,,,,,
 Global Halifax, Atlantic Canada, RT @RhondaBrown5: A late-in-the-day welcome to our newest @globalhalifax team member @jessethomas21 Please give him a follow! #Halifax,2019-02-25 22:39:23,,
,,,,,
 Jacob Myra," Chester, NS"," RT @teamnovascotia: Maggie McClure (Halifax) had the best results in women cross country today for Team Nova Scotia, completing 7.5k in 2",2019-02-25 22:39:13,,
,,,,,
 Jackie Addison, Yorkshire," RT @JobsCalderdale: Cultural Services Managerxa346,609 to xa349,523 per annum37 hours per week, permanentHalifax, West Yorkshire#Jobs #Cald",2019-02-25 22:38:50,,
,,,,,
 U0001f436U0001f98a Lionheart U0001f98aU0001f436, Where ever Animals need me! , RT @RSPCA_official: APPEAL FOR INFO: Three bald puppies were dumped at West Mount Vets in #Halifax at 5.30pm on 07/02/19 by a man in a hood,2019-02-25 22:38:08,,
,,,,,
 Team Nova Scotia," Halifax, Nova Scotia"," Maggie McClure (Halifax) had the best results in women cross country today for Team Nova Scotia, completing 7.5k ",2019-02-25 22:37:49,,
,,,,,
 Simon 'Whippet'..," xdcT: 51.249052,-0.742497", RT @shotsremembered: A Tim Sills brace secures a 2-1 @OfficialShots win at Halifax 15 years ago this week to keep Terry Brown's men firmly,2019-02-25 22:37:48,,
,,,,,
 Steve," Waterloo, Ontario", @SalSports There were similar videos from people with houses on the coast near Halifax last year. Filming it from their porches.,2019-02-25 22:36:45,,
,,,,,
 Brad Willmore, Toronto, RT @HeatherMallick: Here's the link for the GoFundMe for the Syrian refugee parents who lost all 7 of their children in a hideous Halifax h,2019-02-25 22:36:34,,
,,,,,
 Logan Campbell," Sydney, NS, Cape Breton", RT @RhondaBrown5: A late-in-the-day welcome to our newest @globalhalifax team member @jessethomas21 Please give him a follow! #Halifax,2019-02-25 22:36:13,,
,,,,,
 Linda, Huddersfield, RT @BBC_ARoadshow: It's Halifax not Venice! #AntiquesRoadshow comes from the stunningly beautiful @ThePieceHall in #Yorkshire next Sunday #,2019-02-25 22:36:01,,
,,,,,
 Canada Propane," Ottawa, Ontario, Canada", Great CPA Atlantic Committe reception with members and Board of Directors in beautiful Halifax ,2019-02-25 22:35:45,,
,,,,,
 Nick (@hfxcantdrive)," Nova Scotia, Canada", RT @Jscunningham1: SHIPPING NEWS: A fireboat is needed for Halifax port | The Chronicle Herald ,2019-02-25 22:35:36,,
,,,,,
 Logan Campbell," Sydney, NS, Cape Breton"," RT @HHBridges: #MacdonaldBridge - Dartmouth to Halifax (Activity): Traffic conditions, Dartmouth bound light volumes, Halifax bound light v",2019-02-25 22:35:11,,
,,,,,
 Lewis," Halifax, England", don like you. rou doesn like you. halifax don like you. hope you get sacked and get kicked out if baguette  ,2019-02-25 22:34:51,,
,,,,,
 DAMILOLA IDUYE, ," RT @DalGlobalHealth: Walk and Talk: A Conversation on Race, Place &amp; Space with @iwaldron2165.  Sat March 2 @ 12-2 PM - Halifax North Memori",2019-02-25 22:33:53,,
,,,,,
 jose," Rotterdam, Nederland", Multiple Suns Rise Over Halifax Nova Scotia 1of2 Feb 4 2015  via @YouTube,2019-02-25 22:33:09,,
,,,,,
 hfx_food," Halifax, Nova Scotia"," From @afriteresto Zatar Calamari, burnt green onion aioli, mmhumra,. On the menu now. A dish by @teymour_cooks. .. ",2019-02-25 22:33:01,,
,,,,,
 Hurricanes Lacrosse," Halifax, Nova Scotia", RT @HFXThunderbirds: We heard you Halifax and we giving away some Thunderbird SWAG U0001f525The Halifax Thunderbirds want to see what YOU love,2019-02-25 22:32:26,,
,,,,,
 Johan Rewilak," England, United Kingdom", RT @BBC_ARoadshow: It's Halifax not Venice! #AntiquesRoadshow comes from the stunningly beautiful @ThePieceHall in #Yorkshire next Sunday #,2019-02-25 22:32:19,,
,,,,,
 Lil Broken Household," New Hampshire, USA", RT @chocoTaco: @Halifax giving @ZnaferPUBG some competition #chococlips #chocoTaco #PUBG #PUBGclips ,2019-02-25 22:31:56,,
,,,,,
 HHB," Halifax, Nova Scotia, Canada"," #MacdonaldBridge - Dartmouth to Halifax (Activity): Traffic conditions, Dartmouth bound light volumes, Halifax boun ",2019-02-25 22:31:03,,
,,,,,
 J S," West Yorks,Eng", @BminorJimmy Genius. I should have the hands free toilet thing nailed down by the time i head  back to England and ,2019-02-25 22:30:37,,
,,,,,
 Rhonda Brown," Halifax, Nova Scotia", A late-in-the-day welcome to our newest @globalhalifax team member @jessethomas21 Please give him a follow! #Halifax,2019-02-25 22:30:12,,
,,,,,
   , , RT @DarrenFisherNS: There is a lot of love here.Our hearts go out to the Barho Family and their loved ones. #BarhoFamily #Halifax #Dartmo,2019-02-25 22:29:48,,
,,,,,
 Lyla Joy Rose, Canada," RT @CFL_News: ""We've got a lot of private money committed to this (Halifax expansion). This isn't a group looking for a handout. The provin",2019-02-25 22:29:38,,
,,,,,
 Nancy Rudback, Canada, RT @robinsk1971: Who will be the top fundraiser at this year Halifax Polar Plunge? The crew @hfxfire smoked the team @HfxRegPolice in 201,2019-02-25 22:29:13,,
,,,,,
 CFL News, ," ""We've got a lot of private money committed to this (Halifax expansion). This isn't a group looking for a handout. ",2019-02-25 22:29:03,,
,,,,,
 Sean Previl," Toronto, Ontario"," RT @rlordglobal: From #HouseofCommons, #Halifax MP, Andy Fillmore: ""I don want to give specifics again without invading privacy, but it",2019-02-25 22:28:46,,
,,,,,
 Asbestos Law, Halifax Birmingham Manchester, RT @ElsieWhiteley: Its the week of our #10thAnniversaryParty and we are busy putting our heritage exhibition together and prepping for the,2019-02-25 22:28:22,,
,,,,,
 Craven Energy," Skipton, England", RT @WYWLXCountry: So we come to the final race 6/6. Stainland are our hosts and back to a more technical course. We would not expect anythi,2019-02-25 22:28:11,,
,,,,,
 Halifax_Groove, , @Senators Meh.  Big mess.,2019-02-25 22:27:40,,
,,,,,
 Anthony, United Kingdom, RT @WYWLXCountry: So we come to the final race 6/6. Stainland are our hosts and back to a more technical course. We would not expect anythi,2019-02-25 22:27:37,,
,,,,,
 Accounting Jobs, Canada," Director, Finance: Stewart McKelvey LLP (Halifax NS): ""accounting, cash flow control and forecasts, banking relatio ",2019-02-25 22:27:11,,
,,,,,
 LynetteU0001f341," Dartmouth, NS", RT @globalhalifax: Taking the bus in Halifax could soon come with the benefit of free internet access.,2019-02-25 22:26:24,,
,,,,,
 WX Halifax," Halifax, NS, Canada", Mon 18:21: Light Snowshower; Temp -0.6 C; Windchill -7; Wind WSW 24 km/h gust 50 km/h; Humidity 86%; Press 98.8 kPa ,2019-02-25 22:25:52,,
,,,,,
